Time,IndoorConcentration,logIndoorConcentration,IndoorOutdoorPressure
110.65684,185.30856,2.267895481,-7.34629
110.65684,178.33284,2.251231326,-7.34629
110.7168,171.9675,2.235446378,-7.34629
110.89667,165.95095,2.219979743,-7.34629
111.07654,158.10327,2.198940852,-7.95767
111.09653,151.99952,2.181842216,-7.95767
111.19646,143.32348,2.156317345,-5.81786
111.25641,136.82734,2.136172884,-2.30246
111.25641,130.72359,2.116353966,-2.30246
111.34635,115.72581,2.063430229,-3.93279
111.40631,123.3119,2.091004989,-3.93279
111.49624,108.92449,2.037125535,-3.93279
111.49624,102.64634,2.011343469,-3.93279
111.67612,96.97857,1.986675776,0.39777
111.82001,88.20661,1.945501131,0.39777
111.82934,77.12685,1.887205594,0.39777
111.93593,68.46534,1.835470769,0.39777
112.38704,94.79866,1.976802199,-4.18753
112.3956,101.07681,2.004651527,-4.18753
112.55149,89.25297,1.950622677,-4.18753
112.91124,81.50993,1.91121052,-4.49322
112.93522,92.18277,1.964649754,-4.49322
113.03115,72.09271,1.857891351,-0.73764
113.22301,63.82649,1.805000962,-0.73764
113.3849,56.21424,1.749846344,0.7544
113.59475,48.06138,1.681796237,1.93785
113.83458,37.685,1.57616852,1.93785
114.13437,28.0062,1.447254186,5.73031
114.7939,21.98965,1.342218317,5.32272
115.51339,17.19384,1.235372881,3.6002
116.23287,15.7987,1.198621352,7.60688
116.95236,15.7987,1.198621352,7.6833
117.67185,18.153,1.258948408,-0.41739
118.04359,25.52982,1.407047753,-6.22544
118.63117,28.70377,1.457938941,-3.16858
119.05087,21.37927,1.329992872,4.82295
119.50655,18.20532,1.260198317,7.42857
120.19006,22.42563,1.350744652,-1.66562
120.56179,29.08744,1.4637055,-3.70353
120.87957,39.66872,1.598448187,-2.64454
121.29927,44.90051,1.652251274,-2.6591
121.89456,39.34174,1.594853564,-1.52369
122.34852,46.66624,1.66900281,-0.74006
122.58835,55.03709,1.740655463,-3.27047
122.70827,60.79206,1.78384686,-4.84257
122.76822,73.34834,1.865390289,-6.12355
122.84017,67.69801,1.830575903,-6.12355
122.9481,79.45209,1.900105326,-6.12355
123.06801,89.0437,1.949603198,-7.79755
123.06801,94.27549,1.974398798,-7.79755
123.12797,106.83177,2.028700424,-7.79755
123.19992,101.49535,2.006446146,-7.79755
123.30784,113.4587,2.054837803,-9.40458
123.3678,122.17834,2.08699422,-9.40458
123.42776,128.0205,2.107279519,-9.40458
123.6476,147.40718,2.168518638,-10.25032
123.66759,156.01056,2.193153996,-10.25032
123.88172,139.49306,2.144552601,-8.6098
124.25859,131.42116,2.118665296,-2.02734
124.34425,120.73337,2.081827323,-4.40588
124.50699,115.20263,2.061462394,-4.40588
124.50699,108.92449,2.037125535,-4.40588
124.56695,101.73078,2.007452374,-4.40588
124.56695,96.89138,1.986285141,-4.40588
124.80677,131.94434,2.120390765,-7.39724
124.92669,121.48077,2.084507536,-6.20506
125.0466,114.15627,2.05749977,-4.96873
125.0466,107.87813,2.03293341,-4.96873
125.22648,99.85606,1.999374426,-4.96873
125.30356,93.22913,1.969551631,-4.96873
125.46631,85.5384,1.932161122,-0.90423
125.70613,79.01611,1.897715645,-7.68595
125.76609,96.3682,1.983933747,0.03095
125.86202,69.79073,1.843797741,-1.43635
125.88601,86.95099,1.939274531,-1.43635
126.00592,60.79206,1.78384686,-1.43635
126.06588,43.78875,1.641362548,1.51862
126.08586,54.33952,1.735115798,1.51862
126.12584,48.23577,1.683369216,1.51862
126.30571,35.4179,1.549222807,4.67738
126.48558,24.77993,1.394100075,13.4404
127.14511,19.19936,1.283286752,8.63676
127.8646,18.3274,1.263100859,0.03095
128.58409,14.31636,1.155832611,8.58338
129.30358,12.39804,1.093353033,5.69634
130.02306,12.39804,1.093353033,1.75638
130.74255,16.23468,1.210443733,-0.03893
131.1023,25.39031,1.404668003,-3.61692
131.16225,34.28434,1.535095793,-3.61692
131.28217,39.60333,1.597731705,-3.61692
131.34213,47.10222,1.673041377,-3.61692
131.49801,56.71126,1.753669296,-4.44227
131.56996,65.50066,1.816245676,-4.44227
131.70187,75.44106,1.877607782,-3.11763
131.80979,86.21854,1.935600664,-8.87473
131.88174,125.6662,2.099218483,-7.39724
131.88174,112.06356,2.049464415,-7.39724
131.88174,105.78541,2.024425774,-7.39724
131.88174,99.50727,1.997854811,-7.39724
131.88174,93.22913,1.969551631,-7.39724
131.9417,150.97496,2.178904923,-18.35102
131.9417,118.47249,2.073617516,-18.35102
132.00166,144.50063,2.159869741,-18.35102
132.00166,159.67281,2.203230968,-18.35102
132.00166,164.7302,2.216773226,-18.35102
132.00166,171.00834,2.233017291,-18.35102
132.00166,183.56463,2.263789003,-18.35102
