AirExchangeRate,AttenuationGroundwater,AttenuationSubslab,Peclet,Contaminated,SubslabConcentration,RelativeAirEntryRate,EntryRate,Gravel,Pathway,IndoorConcentration,IndoorOutdoorPressure,logIndoorConcentration,logAttenuationSubslab,logAttenuationGroundwater,logSubslabConcentration
0.5,1.5161127403673368e-06,1.31569843432659e-05,0.03490027896602814,No,0.0008016869438484669,9.185865104750996e-05,2.1995763637249346,Yes,No,80.27842734161635,-4,1.9045988560482847,-4.880843642117271,-5.819268502728428,-3.0959951891988418
0.5,1.4911948132546826e-06,1.3012119767227147e-05,0.02617520922452666,No,0.0007972894251093287,6.889398828564678e-05,2.163425435069882,Yes,No,78.95901886495369,-3,1.89740174320535,-4.885651948002658,-5.8264656155713626,-3.0983839961563886
0.5,1.4663925667415212e-06,1.2867822451289958e-05,0.017450139483011644,No,0.0007928204831607155,4.592932552374847e-05,2.1274423358286034,Yes,No,77.64573569569987,-2,1.8901176092637955,-4.890494940073223,-5.833749749512917,-3.100825138027378
0.5,1.4416898691225236e-06,1.2724081246972419e-05,0.00872506974149391,No,0.0007882701561435893,2.296466276184289e-05,2.0916036621229592,Yes,No,76.33772365731538,-1,1.8827392054191256,-4.8953735664588,-5.8411281533575865,-3.103324915486471
0.5,1.3927357321497082e-06,1.24423103541731e-05,-0.008725069741495072,No,0.0007787487445062754,-2.2964662761845956e-05,2.0205810002028044,Yes,No,73.7455937824015,1,1.867736076810803,-4.90509897005461,-5.85613128196591,-3.108602640498984
0.5,1.36853602868286e-06,1.2304445163339155e-05,-0.017450139482999408,No,0.0007737913519105015,-4.592932552371629e-05,1.9854720704130968,Yes,No,72.46421536988231,2,1.8601235941013634,-4.909937964889489,-5.863743764675349,-3.1113761283735437
0.5,1.3445173169530922e-06,1.2167364494543955e-05,-0.02617520922454197,No,0.000768775533417252,-6.889398828568706e-05,1.95062572343554,Yes,No,71.1924205006101,3,1.852433758946103,-4.914803481706566,-5.87143359983061,-3.114200446711728
0.5,1.3207166444262259e-06,1.203111934704809e-05,-0.03490027896599285,No,0.0007637184589539982,-9.1858651047417e-05,1.9160957077335667,Yes,No,69.93217084419821,4,1.844677009879352,-4.919693965043231,-5.87919034889736,-3.117066712441814
0.5,1.2971589714679569e-06,1.1895749609247485e-05,-0.04362534870759493,No,0.0007586318306242513,-0.0001148233138095442,1.881918235805714,Yes,No,68.68478805625345,5,1.8368605624633871,-4.924608185749265,-5.887006796313325,-3.119968939151745
0.7,1.1008248175505109e-06,9.501732607943608e-06,0.04362534870760176,No,0.0008060186276494185,0.00011482331380956245,2.235907303423192,Yes,No,58.28886122951853,-5,1.7655855707325987,-5.022197195399508,-5.958281788044114,-3.09365492123229
0.7,1.0829376716909343e-06,9.39784595947468e-06,0.0349002789659907,No,0.0008016869438485343,9.185865104741128e-05,2.1995763637248884,Yes,No,57.34173381543915,-4,1.7584708203700383,-5.026971677795553,-5.965396538406674,-3.0959951891988053
